model,system_key,system,source,completed,ttft_avg_ms,ttft_p95_ms,e2e_avg_ms,e2e_p95_ms,tpot_avg_ms,tpot_p95_ms,tok_s,cost_req_usd,ce,cost_1mtok_usd,monetary_cost_total_usd,monetary_active_charge_gpu_seconds,monetary_idle_charge_gpu_seconds,infra_active_gpu_seconds,infra_idle_ready_gpu_seconds,infra_startup_gpu_seconds,serverless_invocation_cost_per_request_usd,tpot_ms,cost_startup_usd,cost_active_usd,cost_idle_ready_usd,cost_invocation_usd
Llama-2 7B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_sglang_dp_tpprofile_summary.json,4000.0,274.48,359.53,2427.36,5654.69,20.0,23.1417129979524,105.415,0.003599,114.4668,4.16364175,14.3961328,17275.359322,0.0,8911.463627,8146.193109,217.702584,0.0,20.0,4.535470509976515e-05,0.003553645294900235,0.0,0.0
Llama-2 7B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_vllm_dp4_tp1_summary.json,4000.0,500.68,1173.41,3151.02,7206.33,26.05,29.000164103536093,104.558,0.0040665,78.0421,4.70357678,16.2659469,19519.136229,0.0,10860.669344,6197.91512,2460.551764,0.0,26.05,0.0005126149521727042,0.0035538850478272956,0.0,0.0
Llama-2 7B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_slora_dp4_tp1_summary.json,4000.0,325.5,438.05,3790.54,8834.01,29.93,39.637771737619,116.433,0.0041509,63.5556,4.73759918,16.6036838,19924.420601,0.0,12381.183676,4676.6838,2866.553124,0.0,29.93,0.0005971985662710989,0.003553701433728901,0.0,0.0
Llama-2 7B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_012813_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_serverlessllm_summary.json,4000.0,236575.7,469915.99,239156.82,472944.34,25.14,26.831219868782238,98.489,0.0026921,1.5532,3.12134619,10.7682667,11405.993464,1515.926527,11143.034446,6366.891414,262.959018,0.0,25.14,5.478312895773797e-05,0.0023214988433863447,0.00031581802765591726,0.0
Llama-2 7B,faaslora,PrimeLoRA,/home/qhq/serverless_llm_experiment/results/experiment_results_full_vllm_auto_a500_r4000_c4_faaslora_full_llama2_7b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real_remote_v1_faaslora_vllm_real_remote_v1.json,4000.0,657.1698,1661.2877,3265.4022,7305.3105,29.8132,43.907284415571674,102.030525,0.00257684,118.843777,2.9885,10.30734623,11019.190429,1349.625047,10812.564781,5668.425199,206.625647,0.0,29.8132,4.304700979166667e-05,0.0022526211054166665,0.00028117188479166667,0.0
Llama-3.2 3B,sglang,SGLang,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_sglang_dp_tpprofile_summary.json,4000.0,228.59,219.8,1485.52,3124.93,11.06,11.899113543628296,112.879,0.0036258,185.6602,4.23423784,14.5031538,17403.784552,0.0,5387.334424,11669.460656,346.989472,0.0,11.06,7.228947336656263e-05,0.0035535105266334376,0.0,0.0
Llama-3.2 3B,vllm,vLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_vllm_dp4_tp1_summary.json,4000.0,455.34,2032.63,2564.25,5957.65,20.27,29.15611272832253,112.787,0.0036095,108.041,4.21069525,14.4381035,17325.724182,0.0,8899.220088,8160.011636,266.49246,0.0,20.27,5.551926255767994e-05,0.00355398073744232,0.0,0.0
Llama-3.2 3B,slora,S-LoRA,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_slora_dp4_tp1_summary.json,4000.0,305.86,505.97,7757.95,19846.73,133.96,433.8116811616285,119.173,0.0046812,27.5358,5.42299282,18.724694,22469.632788,0.0,15312.796794,1745.209066,5411.626928,0.0,133.96,0.0011274222772687712,0.0035537777227312287,0.0,0.0
Llama-3.2 3B,serverlessllm,ServerlessLLM,/home/qhq/serverless_llm_baselines/results/paper_experiments/12_remote_fair_main_real_remote_v1/20260513_160342_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1/raw/replay/llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real-remote_v1_serverlessllm_summary.json,4000.0,237443.84,471907.56,239093.59,473509.38,14.91,15.8569691695419,107.179,0.0022911,1.8256,2.67578689,9.1642276,8901.510872,2095.562249,8620.36225,8801.361446,281.148621,0.0,14.91,5.8572629369673796e-05,0.0017959519021283586,0.00043657546850196745,0.0
Llama-3.2 3B,faaslora,PrimeLoRA,/home/qhq/serverless_llm_experiment/results/experiment_results_full_vllm_auto_a500_r4000_c4_faaslora_full_llama32_3b_r4000_a500_seed42_z1p0_hot48_rot500_s8_remote_fair_real_remote_v1_faaslora_vllm_real_remote_v1.json,4000.0,1087.2257,3744.1838,3286.2354,6860.5694,34.9222,112.47540680302666,112.854832,0.00143165,212.551474,1.6699,5.72660472,6451.154232,420.771433,6381.42273,1767.240017,69.731502,0.0,34.9222,1.4527396247885981e-05,0.001329461888556537,8.766071519557698e-05,0.0
